一	〔一一｜yiaa〕
征	〔彳chì正｜vgiv〕
徂	〔彳chì且｜cuiq〕
往	〔彳chì主｜whiv〕
爬	〔爪巴｜pavb〕
彼	〔彳chì又｜biiy〕
径	〔彳chì工｜jkig〕
所	〔ノ斤｜sopj〕
舍	〔人口｜uerk〕
金	〔人一｜jbra〕
刽	〔人刂｜gvrd〕
郐	〔人阝｜gvre・kkre〕
刹	〔乂刂｜iaxd・uaxd〕
命	〔人卩｜mkre〕
肴	〔乂月｜ycxo〕
郄	〔乂阝｜qpxe・xixe〕
斧	〔八斤｜fubj〕
怂	〔人心｜ssrx〕
爸	〔八巴｜babb〕
采	〔ノ木｜cdpm〕
籴	〔入米｜dirm〕
觅	〔ノ见下｜mipe〕
受	〔ノ又｜uzpy〕
乳	〔ノフ｜rupv〕
贪	〔人人｜tjrr〕
念	〔人心｜nmrx〕
贫	〔八人｜pbbr〕
忿	〔八心｜ffbx〕
瓮	〔八瓦｜wgbw〕
戗	〔人戈｜qlrg〕
肼	〔月井｜jkoj〕
肤	〔月夫｜fuof〕
肺	〔月丨｜fwol〕
肢	〔月又｜vioy〕
肽	〔月太｜tdot〕
肱	〔月厶｜gsos〕
肫	〔月屯｜iyot・vyot〕
肿	〔月中｜vsov〕
肭	〔月内｜naon〕
胀	〔月长｜vhoi〕
朋	〔月月｜pgoo〕
肷	〔月人｜qmor〕
股	〔月又｜guoy〕
肮	〔月几｜ahoj〕
肪	〔月方｜fhof〕
肥	〔月巴｜fwob〕
服	〔月又｜fuoy〕
胁	〔月办｜xpob〕
周	〔冂口｜vzkk〕
剁	〔几刂｜dojd〕
昏	〔氏日｜hyuo〕
迩	〔辶小｜erzx〕
郇	〔勹阝｜hrbe・xybe〕
鱼	〔一｜yuda〕
兔	〔丶｜tudd〕
狉	〔犭丕pī｜piqp〕
狙	〔犭且｜juqq〕
狎	〔犭甲｜xxqj〕
狐	〔犭瓜｜huqg〕
忽	〔勿心｜huwx〕
弥	〔弓小｜migx〕
狗	〔犭口｜gzqk〕
狍	〔犭巳sì｜pcqs〕
狞	〔犭丁｜nkqd〕
狒	〔犭弗｜fwqf〕
咎	〔夂口｜jqwk〕
备	〔夂田｜bwwt〕
炙	〔ノ火｜viph〕
枭	〔ノ木｜xnpm〕
饯	〔饣戋jiān｜jmuj〕
饰	〔饣巾｜uiuj〕
饱	〔饣巳sì｜bcus〕
饲	〔饣口｜siuk〕
饳	〔饣出｜doui〕
饴	〔饣口｜yiuk〕
冽	〔冫刂｜lpdd〕
变	〔亠又｜bmwy〕
京	〔亠小｜jkwx〕
享	〔亠子｜xlwz〕
冼	〔冫儿｜xmde〕
庞	〔广龙｜phgl〕
店	〔广口｜dmgk〕
夜	〔亠ㄟ｜yewn〕
庙	〔广由｜mngy〕
府	〔广寸｜fugc〕
底	〔广氐｜digd〕
庖	〔广巳sì｜pcgs〕
疟	〔疒一｜ntba・ycba〕
疠	〔疒万｜libw〕
疝	〔疒山｜ujbe〕
疙	〔疒乞｜gebq〕
疚	〔疒久｜jqbj〕
疡	〔疒ノ｜yhbp〕
剂	〔文刂｜jiwd〕
卒	〔亠十｜cuwu・zuwu〕
郊	〔亠阝｜jnwe〕
兖	〔亠儿｜yjwe〕
庚	〔广ㄟ｜gggn〕
废	〔广丶｜fwgd〕
净	〔冫丨｜jkdl〕
妾	〔立女｜qpln〕
盲	〔亡目｜mhwo〕
放	〔方攵｜fhfw〕
刻	〔亠刂｜kewd〕
於	〔方丶｜wufd・yufd〕
劾	〔亠力｜hewl〕
育	〔亠月｜yuwo〕
氓	〔亡民｜mgwm・mhwm〕
闸	〔门甲｜vamj〕
闹	〔门巾｜ncmj〕
郑	〔丷阝｜vgbe〕
券	〔刀｜qrjd・xrjd〕
卷	〔フ｜jrjv〕
单	〔丷丨｜ijbl・ujbl・djbl〕
炜	〔火韦｜wwhw〕
炬	〔火巨｜juhj〕
炖	〔火屯｜dyht〕
炒	〔火少｜ichu〕
炝	〔火フ｜qlhv〕
炊	〔火人｜ivhr〕
炕	〔火几｜khhj〕
炎	〔火火｜yjhh〕
炉	〔火户｜luhh〕
炔	〔火夬guài｜qthg〕
沫	〔氵末｜modm〕
浅	〔氵戋jiān｜qmdj〕
法	〔氵厶｜fads〕
泔	〔氵甘｜gjdg〕
泄	〔氵世｜xpdu〕
沽	〔氵口｜gudk〕
沭	〔氵术｜uudu〕
河	〔氵口｜hedk〕
泷	〔氵龙｜uldl・lsdl〕
沾	〔氵口｜vjdk〕
泸	〔氵尸｜ludu〕
沮	〔氵且｜judq〕
泪	〔氵目｜lwdo〕
油	〔氵由｜yzdy〕
泱	〔氵央｜yhdy〕
泅	〔氵人｜qqdr〕
泗	〔氵儿｜side〕
泊	〔氵白｜bodb・podb〕
泠	〔氵｜lkds〕
泜	〔氵氐｜vidd〕
泺	〔氵乐｜lodl〕
泃	〔氵口｜judk〕
沿	〔氵口｜yjdk〕
泖	〔氵卩｜mcde〕
泡	〔氵巳sì｜pcds〕
注	〔氵主｜vudv〕
泣	〔氵立｜qidl〕
泫	〔氵幺｜xrdy〕
泮	〔氵半｜pjdb〕
泞	〔氵丁｜nkdd〕
沱	〔氵匕｜todb〕
泻	〔氵与｜xpdy〕
泌	〔氵必｜bidb・midb〕
泳	〔氵永｜ysdy〕
泥	〔氵匕｜nidb〕
泯	〔氵民｜mbdm〕
沸	〔氵弗｜fwdf〕
泓	〔氵厶｜hsds〕
沼	〔氵口｜vcdk〕
波	〔氵又｜body〕
泼	〔氵丶｜podd〕
泽	〔氵丨｜zedl〕
泾	〔氵工｜jkdg〕
治	〔氵口｜vidk〕
怔	〔忄正｜vgxv〕
怯	〔忄厶｜qpxs〕
怙	〔忄口｜huxk〕
怵	〔忄术｜iuxu〕
怖	〔忄巾｜buxj〕
怦	〔忄平｜pgxp〕
怛	〔忄一｜daxa〕
怏	〔忄央｜yhxy〕
性	〔忄生｜xkxu〕
怍	〔忄乍｜vaxv・zoxv〕
怕	〔忄白｜paxb〕
怜	〔忄｜lmxs〕
怩	〔忄匕｜nixb〕
怫	〔忄弗｜fuxf〕
怊	〔忄口｜icxk〕
怿	〔忄丨｜yixl〕
怪	〔忄土｜gkxt〕
怡	〔忄口｜yixk〕
学	〔⺍子｜xtxz〕
宝	〔宀玉｜bcby〕
宗	〔宀小｜zsbx〕
定	〔宀人｜dkbr〕
宕	〔宀石｜dhbu〕
宠	〔宀龙｜isbl〕
宜	〔宀且｜yibq〕
审	〔宀申｜ufbu〕
宙	〔宀由｜vzby〕
官	〔宀㠯｜grbk〕
空	〔宀工｜ksbg〕
帘	〔宀巾｜lmbj〕
穸	〔宀夕｜xibx〕
穹	〔宀弓｜qsbg〕
宛	〔宀フ｜wjbv・yrbv〕
实	〔宀大｜uibd〕
宓	〔宀必｜fubb・mibb〕
诓	〔讠王｜klyw〕
诔	〔讠耒lěi｜lwyl〕
试	〔讠工｜uiyg〕
郎	〔丶阝｜lhde〕
诖	〔讠土｜gxyt〕
诗	〔讠寸｜uiyc〕
诘	〔讠口｜jiyk・jpyk〕
戾	〔户犬｜lihq〕
肩	〔户月｜jmho〕
房	〔户方｜fhhf〕
诙	〔讠火｜hvyh〕
戽	〔户十｜huhu〕
诚	〔讠成｜igyi〕
郓	〔冖阝｜yybe〕
衬	〔衤寸｜ifpc〕
衫	〔衤ノ｜ujpp〕
衩	〔衤叉｜iapi〕
祆	〔礻天｜xmpt〕
祎	〔礻韦｜yipw〕
祉	〔礻止｜vipv〕
视	〔礻见下｜uipe〕
祈	〔礻斤｜qipj〕
诛	〔讠朱｜vuyv〕
诜	〔讠儿｜ufye〕
话	〔讠口｜hxyk〕
诞	〔讠廴｜djyz〕
诟	〔讠口｜gzyk〕
诠	〔讠王｜qryw〕
诡	〔讠フ｜gvyv〕
询	〔讠日｜xyyo〕
诣	〔讠日｜yiyo〕
诤	〔讠丨｜vgyl〕
该	〔讠人｜gdyr〕
详	〔讠羊｜xlyy〕
诧	〔讠七｜iayq〕
诨	〔讠车｜hyyi〕
诩	〔讠习｜xuyx〕
建	〔廴聿yù｜jmzy〕
肃	〔フ丶｜suvd〕
隶	〔フㄟ｜livn〕
录	〔彐氺｜lueu〕
帚	〔彐巾｜vzej〕
屉	〔尸世｜tiuu〕
居	〔尸口｜juuk〕
届	〔尸由｜jpuy〕
刷	〔尸刂｜uxud〕
鸤	〔尸鸟｜uiun〕
屈	〔尸出｜quui〕
弧	〔弓瓜｜hugg〕
弦	〔弓幺｜xmgy〕
承	〔フㄟ｜igvn〕
孟	〔子皿｜mgzm〕
陋	〔阝フ｜lzev〕
戕	〔爿pán戈｜qlpg〕
陌	〔阝百｜moeb〕
孤	〔子瓜｜guzg〕
孢	〔子巳sì｜bczs〕
陕	〔阝夹｜ujej〕
亟	〔了一｜jila・qila〕
降	〔阝丨｜jlel・xlel〕
函	〔了凵｜hjlk〕
陔	〔阝人｜gder〕
限	〔阝艮｜xmeg〕
卺	〔了フ｜jblv〕
妹	〔女未｜mwnw〕
姑	〔女口｜gunk〕
姐	〔女且｜jpnq〕
妲	〔女一｜dana〕
妯	〔女由｜vzny〕
姓	〔女生｜xknu〕
姗	〔女册｜ujnc〕
妮	〔女匕｜ninb〕
始	〔女口｜uink〕
帑	〔女巾｜thnj・nunj〕
弩	〔女弓｜nung〕
孥	〔女子｜nunz〕
驽	〔女马｜nunm〕
姆	〔女母｜munm〕
虱	〔フ虫｜uivi〕
迦	〔辶口｜jxzk〕
迢	〔辶口｜tnzk〕
驾	〔力马｜jxlm〕
叁	〔厶三｜sjss〕
参	〔厶ノ｜cfsp・cjsp・sjsp・ufsp〕
迨	〔辶口｜ddzk〕
艰	〔又艮｜jmyg〕
线	〔纟戋jiān｜xmsj〕
绀	〔纟甘｜gjsg〕
绁	〔纟世｜xpsu〕
绂	〔纟丶｜fusd〕
练	〔纟丶｜lmsd〕
驵	〔马且｜zhmq〕
组	〔纟且｜zusq〕
绅	〔纟申｜ufsu〕
细	〔纟田｜xist〕
驶	〔马史｜uimu〕
织	〔纟八｜visb〕
驷	〔马儿｜sime〕
驸	〔马寸｜fumc〕
驹	〔马口｜jumk〕
终	〔纟丶｜vssd〕
绉	〔纟彐｜vzse〕
驺	〔马彐｜zzme〕
驻	〔马主｜vumv〕
绊	〔纟半｜bjsb〕
驼	〔马匕｜tomb〕
绋	〔纟弗｜fusf〕
绌	〔纟出｜iusi〕
绍	〔纟口｜ucsk〕
驿	〔马丨｜yiml〕
绎	〔纟丨｜yisl〕
经	〔纟工｜jksg〕
骀	〔马口｜tdmk〕
贯	〔フ人｜grvr〕
甾	〔フ田｜zdvt〕
砉	〔丰石｜hxfu・xufu〕
耔	〔耒lěi子｜zilz〕
契	〔丰大｜qifd・xpfd〕
贰	〔弋人｜eryr〕
奏	〔寿上天｜zzft〕
春	〔寿上日｜iyfo〕
帮	〔寿上巾｜bhfj〕
珏	〔王玉｜jtwy〕
珐	〔王厶｜faws〕
珂	〔王口｜kewk〕
珑	〔王龙｜lswl〕
玷	〔王口｜dmwk〕
玳	〔王弋｜ddwy〕
珀	〔王白｜powb〕
顸	〔干人｜hjgr〕
珍	〔王ノ｜vfwp〕
玲	〔王｜lkws〕
珊	〔王册｜ujwc〕
珉	〔王民｜mbwm〕
珈	〔王口｜jxwk〕
玻	〔王又｜bowy〕
毒	〔母｜dufm〕
型	〔开土｜xkkt〕
韨	〔韦丶｜fuwd〕
拭	〔扌工｜uifg〕
挂	〔扌土｜gxft〕
封	〔土寸｜fgtc〕
持	〔扌寸｜iifc〕
拮	〔扌口｜jpfk・jxfk〕
拷	〔扌フ｜kcfv〕
拱	〔扌八｜gsfb〕
垭	〔土亚｜yaty〕
挝	〔扌辶｜wofz・vxfz〕
垣	〔土一｜yrta〕
项	〔工人｜xlgr〕
垮	〔土亏｜kxtk〕
挎	〔扌亏｜kxfk〕
垯	〔土辶｜datz〕
挞	〔扌辶｜tafz〕
城	〔土成｜igti〕
挟	〔扌夹｜jxfj・xpfj〕
挠	〔扌兀｜ncfw〕
垤	〔土土｜dptt〕
政	〔正攵｜vgvw〕
赴	〔土卜｜futb〕
赵	〔土乂｜vctx〕
赳	〔土丨｜jqtl〕
贲	〔十人｜bfur・biur〕
垱	〔土彐｜dhte〕
挡	〔扌彐｜dhfe〕
拽	〔扌曳yè｜vkfy〕
垌	〔土口｜tstk・dstk〕
哉	〔十口｜zduk〕
垲	〔土己｜kdtj〕
挺	〔扌廴｜tkfz〕
括	〔扌口｜gxfk・kofk〕
埏	〔土廴｜ujtz・yjtz〕
郝	〔土阝｜hcte〕
垍	〔土自｜jitz〕
垧	〔土口｜uhtk〕
垢	〔土口｜gztk〕
拴	〔扌王｜urfw〕
拾	〔扌口｜uifk〕
挑	〔扌丶｜tnfd〕
垛	〔土木｜dotm〕
指	〔扌日｜vifo〕
垫	〔扌土｜dmft〕
挣	〔扌丨｜vgfl〕
挤	〔扌丨｜jifl〕
垓	〔土人｜gdtr〕
垟	〔土羊｜yhty〕
拼	〔扌开｜pbfk〕
垞	〔土七｜iatq〕
挖	〔扌フ｜wafv〕
按	〔扌女｜anfn〕
挥	〔扌车｜hvfi〕
挦	〔扌寸｜xmfc〕
挪	〔扌阝｜nofe〕
垠	〔土艮｜ybtg〕
拯	〔扌一｜vgfa〕
拶	〔扌夕｜zafx・zjfx〕
某	〔甘木｜mzgm〕
甚	〔其上フ｜ufqv〕
荆	〔艹刂｜jkcd〕
茸	〔艹耳｜rsce〕
革	〔廿niàn丨｜genl〕
茜	〔艹西｜qmcx・xicx〕
茬	〔艹土｜iact〕
荐	〔艹子｜jmcz〕
荙	〔艹辶｜dacz〕
巷	〔艹巳sì｜hhcs・xlcs〕
荚	〔艹夹｜jxcj〕
荑	〔艹夷｜ticy・yicy〕
贳	〔世人｜uiur〕
荛	〔艹兀｜rccw〕
荜	〔艹十｜bicu〕
茈	〔艹匕｜cicb・zicb〕
带	〔带上巾｜ddfj〕
草	〔艹十｜cccu〕
茧	〔艹虫｜jmci〕
茼	〔艹口｜tsck〕
莒	〔艹口｜juck〕
茵	〔艹大｜ybcd〕
茴	〔艹口｜hvck〕
茱	〔艹朱｜vucv〕
莛	〔艹廴｜tkcz〕
荞	〔艹丨｜qncl〕
茯	〔艹犬｜fucq〕
荏	〔艹壬｜rfcr〕
荇	〔艹亍chù｜xkci〕
荃	〔艹王｜qrcw〕
荟	〔艹厶｜hvcs〕
茶	〔艹朩｜iacm〕
荀	〔艹日｜xyco〕
茗	〔艹口｜mkck〕
荠	〔艹丨｜jicl・qicl〕
茭	〔艹乂｜jncx〕
茨	〔艹人｜cicr〕
荒	〔艹フ｜hlcv〕
垩	〔亚土｜eeyt〕
茳	〔艹工｜jlcg〕
茫	〔艹亡｜mhcw〕
荡	〔艹ノ｜dhcp〕
荣	〔艹木｜rscm〕
荤	〔艹车｜hyci〕
荥	〔艹水｜xkcu・ykcu〕
荦	〔艹牛｜locn〕
荧	〔艹火｜ykch〕
荨	〔艹寸｜qmcc・xycc〕
茛	〔艹艮｜gfcg〕
故	〔十攵｜guuw〕
荩	〔艹丶｜jbcd〕
胡	〔十月｜huuo〕
荪	〔艹小｜sycx〕
荫	〔艹月｜ybco〕
茹	〔艹口｜ruck〕
荔	〔艹力｜licl〕
南	〔十干｜naug・njug〕
荬	〔艹大｜mdcd〕
荭	〔艹工｜hscg〕
药	〔艹勺｜yccu〕
柰	〔木小｜ndmx〕
标	〔木小｜bnmx〕
栈	〔木戋jiān｜vjmj〕
柑	〔木甘｜gjmg〕
枯	〔木口｜kumk〕
栉	〔木卩｜vime〕
柯	〔木口｜kemk〕
柄	〔木丙｜bkmb〕
柘	〔木石｜vemu〕
栊	〔木龙｜lsml〕
柩	〔木久｜jqmj〕
枰	〔木平｜pkmp〕
栋	〔木东｜dsmd〕
栌	〔木尸｜lumu〕
相	〔木目｜xlmo〕
查	〔木一｜vama・iama〕
柙	〔木甲｜xxmj〕
枵	〔木フ｜xnmv〕
柚	〔木由｜yzmy〕
枳	〔木八｜vimb〕
柞	〔木乍｜zomv・vamv〕
柏	〔木白｜bdmb・bomb〕
柝	〔木斥｜tomi〕
栀	〔木フ｜vimv〕
柃	〔木｜lkms〕
柢	〔木氐｜iimd・dimd〕
栎	〔木乐｜liml・ytml〕
枸	〔木口｜jumk・gzmk〕
栅	〔木册｜cemc・ujmc・vamc〕
柳	〔木卩｜lqme〕
柱	〔木主｜vumv〕
柿	〔木巾｜uimj〕
栏	〔木三｜ljms〕
柈	〔木半｜bjmb・pjmb〕
柠	〔木丁｜nkmd〕
柁	〔木匕｜domb・tomb〕
枷	〔木口｜jxmk〕
柽	〔木土｜igmt〕
树	〔木寸｜uumc〕
勃	〔十力｜boul・bwul〕
剌	〔束刂｜laud〕
郚	〔五阝｜wuwe〕
剅	〔一刂｜lzad〕
要	〔西女｜ycxn〕
酊	〔酉yǒu丁｜dkyd〕
郦	〔丽阝｜vile・lile〕
柬	〔一ㄟ｜jman〕
咸	〔戌xū口｜xmxk〕
威	〔戌xū女｜wwxn〕
歪	〔不正｜wdbv〕
甭	〔不用｜bgby〕
研	〔石开｜yjuk〕
砖	〔石专｜vruv〕
厘	〔厂里｜liil〕
砗	〔石车｜ieui〕
厚	〔厂子｜hziz〕
砑	〔石牙｜yauy〕
砘	〔石屯｜dyut〕
砒	〔石匕｜piub〕
砌	〔石刀｜qiud・qpud〕
砂	〔石少｜uauu〕
泵	〔石水｜bguu〕
砚	〔石见下｜yjue〕
斫	〔石斤｜vouj〕
砭	〔石乏｜bmuf〕
砜	〔石乂｜fgux〕
砍	〔石人｜kjur〕
面	〔一一｜mmaa〕
耐	〔而寸｜ndec〕
耍	〔而女｜uxen〕
奎	〔大土｜kvdt〕
耷	〔大耳｜dade〕
牵	〔大牛｜qmdn〕
鸥	〔匚鸟｜oukn〕
虺	〔兀虫｜hvwi〕
残	〔歹戋jiān｜cjdj〕
殂	〔歹且｜cudq〕
殃	〔歹央｜yhdy〕
殇	〔歹ノ｜uhdp〕
殄	〔歹ノ｜tmdp〕
殆	〔歹口｜dddk〕
轱	〔车口｜guik〕
轲	〔车口｜keik〕
轳	〔车尸｜luiu〕
轴	〔车由｜vziy〕
轵	〔车八｜viib〕
轶	〔车失｜yiiu〕
轷	〔车乎｜huih〕
轸	〔车ノ｜vfip〕
轺	〔车口｜ycik〕
轻	〔车工｜qkig〕
鸦	〔牙鸟｜yayn〕
虿	〔万虫｜idwi〕
皆	〔比左白｜jpbb〕
毖	〔比左必｜bibb〕
韭	〔非一｜jqfa〕
背	〔丨月｜bwlo〕
战	〔丨戈｜vjlg〕
觇	〔丨见下｜ijle〕
点	〔丨灬｜dmlh〕
虐	〔虍一｜ntha〕
临	〔丨一｜lbla〕
览	〔丨见下｜ljle〕
竖	〔丨立｜uull〕
尜	〔小小｜gaxx〕
省	〔少目｜uguo・xkuo〕
削	〔刂｜xnxd・xtxd〕
尝	〔厶｜ihxs〕
哐	〔口王｜klkw〕
昧	〔日未｜mwow〕
眄	〔目丏miǎn｜mmom〕
眍	〔目乂｜kzox〕
盹	〔目屯｜dyot〕
是	〔日人｜uior〕
郢	〔口阝｜ykke〕
眇	〔目少｜mnou〕
眊	〔目毛｜mcom〕
盼	〔目刀｜pjod〕
眨	〔目乏｜vaof〕
昽	〔日龙｜lsol〕
眈	〔目フ｜djov〕
哇	〔口土｜wakt〕
哄	〔口八｜hskb〕
哑	〔口亚｜yaky〕
显	〔日业｜xmoy〕
冒	〔冂目｜mcko・moko〕
映	〔日央｜ykoy〕
禺	〔丨丶｜yuld〕
哂	〔口西｜ufkx〕
星	〔日生｜xkou〕
昨	〔日乍｜zoov〕
咴	〔口火｜hvkh〕
曷	〔日フ｜heov〕
昴	〔日卩｜mcoe〕
咧	〔口刂｜lpkd〕
昱	〔日立｜yuol〕
昵	〔日匕｜niob〕
咦	〔口夷｜yiky〕
哓	〔口兀｜xnkw〕
昭	〔日口｜vcok〕
哔	〔口十｜biku〕
畎	〔田犬｜qrtq〕
畏	〔田ㄟ｜wwtn〕
毗	〔田匕｜pitb〕
趴	〔八｜pazb〕
呲	〔口匕｜cikb・zikb〕
胄	〔由月｜vzyo〕
胃	〔田月｜wwto〕
贵	〔中人｜gvvr〕
畋	〔田攵｜tmtw〕
畈	〔田又｜fjty〕
界	〔田丨｜jptl〕
虹	〔虫工｜hsig〕
虾	〔虫下｜xxix〕
虼	〔虫乞｜geiq〕
虻	〔虫亡｜mgiw〕
蚁	〔虫义｜yiiy〕
思	〔田心｜sitx・sdtx〕
蚂	〔虫马｜maim〕
盅	〔中皿｜vsvm〕
咣	〔口兀｜glkw〕
虽	〔口虫｜svki〕
品	〔口口｜pbkk〕
咽	〔口大｜yekd・yjkd〕
骂	〔口马｜makm〕
哕	〔口夕｜ytkx・hvkx〕
剐	〔口刂｜gxkd〕
郧	〔口阝｜yyke〕
勋	〔口力｜xykl〕
咻	〔口木｜xqkm〕
哗	〔口十｜hxku〕
囿	〔囗月｜yzko〕
咱	〔口自｜zakz・zjkz〕
咿	〔口尹｜yiky〕
响	〔口口｜xlkk〕
哌	〔口ㄟ｜pdkn〕
哙	〔口厶｜kkks〕
哈	〔口口｜hakk〕
哚	〔口木｜dokm〕
咯	〔口口｜gekk・lokk・kakk〕
哆	〔口夕｜dokx〕
咬	〔口乂｜yckx〕
咳	〔口人｜hdkr・kekr〕
咩	〔口羊｜mpky〕
咪	〔口米｜mikm〕
咤	〔口七｜vakq〕
哝	〔口农｜nskn〕
哪	〔口阝｜neke・nake・nwke〕
哏	〔口艮｜gfkg・hfkg〕
哞	〔口牛｜mzkn〕
哟	〔口勺｜yoku〕
峙	〔山寸｜uiec・viec〕
炭	〔山火｜tjeh〕
峡	〔山夹｜xxej〕
峣	〔山兀｜ycew〕
罘	〔罒不｜fusb〕
帧	〔巾人｜vfjr〕
罚	〔罒刂｜fasd〕
峒	〔山口｜dsek・tsek〕
峤	〔山丨｜qnel・jnel〕
峋	〔山日｜xyeo〕
峥	〔山丨｜vgel〕
峧	〔山乂｜jnex〕
帡	〔巾开｜pkjk〕
贱	〔冂戋jiān｜jmkj〕
贴	〔冂口｜tpkk〕
贶	〔冂儿｜klke〕
贻	〔冂口｜yikk〕
骨	〔丨月｜gulo〕
幽	〔山幺｜yzey〕
钘	〔钅开｜xkjk〕
钙	〔钅丐｜gdjg〕
钚	〔钅不｜bujb〕
钛	〔钅太｜tdjt〕
钝	〔钅屯｜dyjt〕
钞	〔钅少｜icju〕
钟	〔钅中｜vsjv〕
钡	〔钅人｜bwjr〕
钠	〔钅内｜najn〕
钢	〔钅乂｜ghjx〕
钣	〔钅又｜bjjy〕
钤	〔钅フ｜qmjv〕
钥	〔钅月｜ycjo・ytjo〕
钦	〔钅人｜qbjr〕
钧	〔钅冫｜jyjd〕
钨	〔钅乌｜wujw〕
钩	〔钅厶｜gzjs〕
钪	〔钅几｜khjj〕
钫	〔钅方｜fhjf〕
钬	〔钅火｜hojh〕
钭	〔钅十｜dzju〕
钮	〔钅丑｜nqji〕
钯	〔钅巴｜bajb〕
御	〔彳chì卩｜yuie〕
缸	〔缶fǒu工｜ghfg〕
拜	〔丰｜bduf〕
看	〔目｜kjuo〕
矩	〔矢巨｜juuj〕
矧	〔矢丨｜uful〕
毡	〔毛口｜vjmk〕
氡	〔气丶｜dsqd〕
氟	〔气弗｜fuqf〕
氢	〔气工｜qkqg〕
牯	〔牛口｜gunk〕
怎	〔乍心｜zfvx〕
郜	〔阝｜gcne〕
牲	〔牛生｜ugnu〕
选	〔辶儿｜xrze〕
适	〔辶口｜uizk・kozk〕
秕	〔禾匕｜bihb〕
秒	〔禾少｜mnhu〕
香	〔禾日｜xlho〕
种	〔禾中｜vshv・ishv〕
秭	〔禾ノ｜zihp〕
秋	〔禾火｜qqhh〕
科	〔禾十｜kehu〕
重	〔ノ一｜ispa・vspa〕
复	〔ノ夂｜fupw〕
竽	〔于｜yuvy〕
竿	〔干｜gjvg〕
笈	〔及｜jivj〕
笃	〔马｜duvm〕
俦	〔亻寸｜izrc〕
段	〔ノ又｜drpy〕
俨	〔亻严｜yjry〕
俅	〔亻求｜qqrq〕
便	〔亻更｜bmrg・pmrg〕
俩	〔亻两｜lxrl・llrl〕
俪	〔亻丽｜lirl〕
叟	〔ノ又｜szpy〕
垡	〔亻土｜fart〕
贷	〔亻人｜ddrr〕
牮	〔亻牛｜jmrn〕
顺	〔川人｜uyir〕
修	〔亻ノ｜xqrp〕
俏	〔亻月｜qnro〕
俣	〔亻天｜yurt〕
俚	〔亻里｜lirl〕
保	〔亻木｜bcrm〕
俜	〔亻フ｜pkrv〕
促	〔亻人｜curr〕
俄	〔亻我｜eerw〕
俐	〔亻刂｜lird〕
侮	〔亻母｜wurm〕
俭	〔亻一｜jmra〕
俗	〔亻口｜surk〕
俘	〔亻子｜furz〕
信	〔亻口｜xbrk〕
皇	〔白王｜hlbw〕
泉	〔白水｜qrbu〕
皈	〔白又｜gvby〕
鬼	〔ノ厶｜gvps〕
侵	〔亻又｜qbry〕
禹	〔ノ丶｜yupd〕
侯	〔亻矢｜hzru〕
追	〔辶㠯｜dvzk・vvzk〕
俑	〔亻用｜ysry〕
俟	〔亻矢｜siru・qiru〕
俊	〔亻夂｜jyrw〕
盾	〔ノ目｜dypo〕
逅	〔辶口｜hzzk〕
待	〔彳chì寸｜ddic〕
徊	〔彳chì口｜hkik〕
徇	〔彳chì日｜xyio〕
徉	〔彳chì羊｜yhiy〕
衍	〔彳chì亍chù｜yjii〕
律	〔彳chì聿yù｜lviy〕
很	〔彳chì艮｜hfig〕
须	〔ノ人｜xupr〕
舢	〔舟山｜ujve〕
舣	〔舟义｜yivy〕
叙	〔人又｜xury〕
俞	〔人刂｜yurd〕
弇	〔人廾｜yjrc〕
郗	〔乂阝｜xixe〕
剑	〔人刂｜jmrd〕
逃	〔辶丶｜tczd〕
俎	〔人且｜zurq〕
郤	〔八阝｜xibe〕
爰	〔ノ又｜yrpy〕
郛	〔ノ阝｜fupe〕
食	〔人良｜sirl・uirl・yirl〕
瓴	〔人瓦｜lkrw〕
盆	〔八皿｜pfbm〕
胚	〔月丕pī｜pwop〕
胧	〔月龙｜lsol〕
胨	〔月东｜dsod〕
胩	〔月卜｜kaob〕
胪	〔月尸｜luou〕
胆	〔月一｜djoa〕
胛	〔月甲｜jxoj〕
胂	〔月申｜ufou〕
胜	〔月生｜ugou〕
胙	〔月乍｜zoov〕
胍	〔月瓜｜gxog〕
胗	〔月ノ｜vfop〕
胝	〔月氐｜viod〕
朐	〔月口｜iyok・quok〕
胞	〔月巳sì｜bcos〕
胖	〔月半｜phob・pjob〕
脉	〔月永｜mdoy・mooy〕
胫	〔月工｜jkog〕
胎	〔月口｜tdok〕
鸨	〔匕鸟｜bcbn〕
葡	〔艹甫｜pucf〕
勉	〔力｜mmdl〕
狨	〔犭｜rsqu〕
狭	〔犭夹｜xxqj〕
狮	〔犭巾｜uiqj〕
独	〔犭虫｜duqi〕
狯	〔犭厶｜kkqs〕
狰	〔犭丨｜vgql〕
狡	〔犭乂｜jnqx〕
飐	〔几口｜vjjk〕
飑	〔几巳sì｜bnjs〕
狩	〔犭寸｜uzqc〕
狱	〔犭犬｜yuqq〕
狠	〔犭艮｜hfqg〕
狲	〔犭小｜syqx〕
訇	〔勹口｜hsbk〕
訄	〔九口｜qqjk〕
逄	〔辶丨｜phzl〕
昝	〔夂日｜zjwo〕
贸	〔ノ人｜mcpr〕
怨	〔夕心｜yrxx〕
急	〔心｜jidx〕
饵	〔饣耳｜erue〕
饶	〔饣兀｜rcuw〕
蚀	〔饣虫｜uiui〕
饷	〔饣口｜xluk〕
饸	〔饣口｜heuk〕
饹	〔饣口｜leuk・geuk〕
